Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 145/300, Train Acc: 0.7470, Test Acc: 0.7440
Epoch 146/300, Train Acc: 0.7607, Test Acc: 0.7488
Epoch 147/300, Train Acc: 0.7393, Test Acc: 0.7595
Epoch 148/300, Train Acc: 0.7470, Test Acc: 0.7417
Epoch 149/300, Train Acc: 0.7500, Test Acc: 0.7286
Epoch 150/300, Train Acc: 0.7503, Test Acc: 0.7548
Epoch 151/300, Train Acc: 0.7571, Test Acc: 0.7583
Epoch 152/300, Train Acc: 0.7491, Test Acc: 0.7655
Epoch 153/300, Train Acc: 0.7494, Test Acc: 0.7560
Epoch 154/300, Train Acc: 0.7637, Test Acc: 0.7690
Epoch 155/300, Train Acc: 0.7443, Test Acc: 0.7583
Epoch 156/300, Train Acc: 0.7533, Test Acc: 0.7524
Epoch 157/300, Train Acc: 0.7479, Test Acc: 0.7310
Epoch 158/300, Train Acc: 0.7521, Test Acc: 0.7643
Epoch 159/300, Train Acc: 0.7527, Test Acc: 0.7536
Epoch 160/300, Train Acc: 0.7583, Test Acc: 0.7690
Epoch 161/300, Train Acc: 0.7598, Test Acc: 0.7429
Epoch 162/300, Train Acc: 0.7643, Test Acc: 0.7690
Epoch 163/300, Train Acc: 0.7545, Test Acc: 0.7643
Epoch 164/300, Train Acc: 0.7613, Test Acc: 0.7655
Epoch 165/300, Train Acc: 0.7634, Test Acc: 0.7571
Epoch 166/300, Train Acc: 0.7664, Test Acc: 0.7810
Epoch 167/300, Train Acc: 0.7562, Test Acc: 0.7702
Epoch 168/300, Train Acc: 0.7708, Test Acc: 0.7536
Epoch 169/300, Train Acc: 0.7548, Test Acc: 0.7762
Epoch 170/300, Train Acc: 0.7577, Test Acc: 0.7702
Epoch 171/300, Train Acc: 0.7607, Test Acc: 0.7845
Epoch 172/300, Train Acc: 0.7670, Test Acc: 0.7690
Epoch 173/300, Train Acc: 0.7574, Test Acc: 0.7798
Epoch 174/300, Train Acc: 0.7658, Test Acc: 0.7702
Epoch 175/300, Train Acc: 0.7589, Test Acc: 0.7690
Epoch 176/300, Train Acc: 0.7750, Test Acc: 0.7512
Epoch 177/300, Train Acc: 0.7586, Test Acc: 0.7250
Epoch 178/300, Train Acc: 0.7676, Test Acc: 0.7714
Epoch 179/300, Train Acc: 0.7667, Test Acc: 0.7821
Epoch 180/300, Train Acc: 0.7652, Test Acc: 0.7440
Epoch 181/300, Train Acc: 0.7682, Test Acc: 0.7655
Epoch 182/300, Train Acc: 0.7586, Test Acc: 0.7667
Epoch 183/300, Train Acc: 0.7723, Test Acc: 0.7655
Epoch 184/300, Train Acc: 0.7631, Test Acc: 0.7560
Epoch 185/300, Train Acc: 0.7682, Test Acc: 0.7679
Epoch 186/300, Train Acc: 0.7625, Test Acc: 0.7881
Epoch 187/300, Train Acc: 0.7673, Test Acc: 0.7619
Epoch 188/300, Train Acc: 0.7789, Test Acc: 0.7738
Epoch 189/300, Train Acc: 0.7711, Test Acc: 0.7917
Epoch 190/300, Train Acc: 0.7768, Test Acc: 0.7690
Epoch 191/300, Train Acc: 0.7735, Test Acc: 0.7869
Epoch 192/300, Train Acc: 0.7741, Test Acc: 0.7881
Epoch 193/300, Train Acc: 0.7795, Test Acc: 0.7571
Epoch 194/300, Train Acc: 0.7696, Test Acc: 0.7631
Epoch 195/300, Train Acc: 0.7705, Test Acc: 0.7810
Epoch 196/300, Train Acc: 0.7845, Test Acc: 0.7631
Epoch 197/300, Train Acc: 0.7714, Test Acc: 0.7905
Epoch 198/300, Train Acc: 0.7765, Test Acc: 0.7905
Epoch 199/300, Train Acc: 0.7747, Test Acc: 0.7667
Epoch 200/300, Train Acc: 0.7839, Test Acc: 0.7845
Epoch 201/300, Train Acc: 0.7714, Test Acc: 0.7345
Epoch 202/300, Train Acc: 0.7827, Test Acc: 0.7905
Epoch 203/300, Train Acc: 0.7693, Test Acc: 0.7857
Epoch 204/300, Train Acc: 0.7845, Test Acc: 0.7893
Epoch 205/300, Train Acc: 0.7872, Test Acc: 0.7786
Epoch 206/300, Train Acc: 0.7824, Test Acc: 0.7714
Epoch 207/300, Train Acc: 0.7830, Test Acc: 0.7833
Epoch 208/300, Train Acc: 0.7821, Test Acc: 0.7762
Epoch 209/300, Train Acc: 0.7786, Test Acc: 0.7631
Epoch 210/300, Train Acc: 0.7815, Test Acc: 0.7738
Epoch 211/300, Train Acc: 0.7789, Test Acc: 0.7905
Epoch 212/300, Train Acc: 0.7869, Test Acc: 0.7786
Epoch 213/300, Train Acc: 0.7717, Test Acc: 0.7655
Epoch 214/300, Train Acc: 0.7696, Test Acc: 0.7738
Epoch 215/300, Train Acc: 0.7884, Test Acc: 0.7917
Epoch 216/300, Train Acc: 0.7798, Test Acc: 0.7929
Epoch 217/300, Train Acc: 0.7762, Test Acc: 0.7845
Epoch 218/300, Train Acc: 0.7869, Test Acc: 0.7869
Epoch 219/300, Train Acc: 0.7884, Test Acc: 0.7869
Epoch 220/300, Train Acc: 0.7890, Test Acc: 0.7869
Epoch 221/300, Train Acc: 0.7789, Test Acc: 0.7940
Epoch 222/300, Train Acc: 0.7845, Test Acc: 0.7940
Epoch 223/300, Train Acc: 0.7857, Test Acc: 0.7810
Epoch 224/300, Train Acc: 0.7851, Test Acc: 0.7833
Epoch 225/300, Train Acc: 0.7845, Test Acc: 0.7774
Epoch 226/300, Train Acc: 0.7863, Test Acc: 0.7774
Epoch 227/300, Train Acc: 0.7926, Test Acc: 0.7798
Epoch 228/300, Train Acc: 0.7836, Test Acc: 0.7869
Epoch 229/300, Train Acc: 0.7807, Test Acc: 0.7869
Epoch 230/300, Train Acc: 0.7744, Test Acc: 0.7905
Epoch 231/300, Train Acc: 0.7893, Test Acc: 0.7833
Epoch 232/300, Train Acc: 0.7884, Test Acc: 0.7821
Epoch 233/300, Train Acc: 0.7902, Test Acc: 0.7869
Epoch 234/300, Train Acc: 0.7869, Test Acc: 0.7857
Epoch 235/300, Train Acc: 0.7845, Test Acc: 0.7786
Epoch 236/300, Train Acc: 0.7943, Test Acc: 0.7821
Epoch 237/300, Train Acc: 0.7937, Test Acc: 0.7869
Epoch 238/300, Train Acc: 0.7798, Test Acc: 0.7798
Epoch 239/300, Train Acc: 0.7949, Test Acc: 0.7893
Epoch 240/300, Train Acc: 0.7943, Test Acc: 0.7881
Epoch 241/300, Train Acc: 0.7902, Test Acc: 0.7964
Epoch 242/300, Train Acc: 0.7940, Test Acc: 0.7929
Epoch 243/300, Train Acc: 0.7937, Test Acc: 0.7929
Epoch 244/300, Train Acc: 0.7970, Test Acc: 0.7952
Epoch 245/300, Train Acc: 0.7875, Test Acc: 0.7905
Epoch 246/300, Train Acc: 0.7943, Test Acc: 0.7929
Epoch 247/300, Train Acc: 0.7920, Test Acc: 0.7905
Epoch 248/300, Train Acc: 0.7869, Test Acc: 0.7810
Epoch 249/300, Train Acc: 0.7985, Test Acc: 0.7845
Epoch 250/300, Train Acc: 0.7952, Test Acc: 0.7738
Epoch 251/300, Train Acc: 0.8012, Test Acc: 0.7738
Epoch 252/300, Train Acc: 0.7991, Test Acc: 0.7881
Epoch 253/300, Train Acc: 0.8092, Test Acc: 0.7595
Epoch 254/300, Train Acc: 0.7893, Test Acc: 0.7810
Epoch 255/300, Train Acc: 0.7946, Test Acc: 0.7810
Epoch 256/300, Train Acc: 0.7949, Test Acc: 0.7833
Epoch 257/300, Train Acc: 0.8006, Test Acc: 0.7905
Early stopping triggered.

📘 Final Classification Metrics
----------------------------------------
Train Accuracy : 0.8199
Train Precision: 0.8096
Train Recall   : 0.8315
Train F1 Score : 0.8204
Train Loss     : 0.4384
----------------------------------------
Test Accuracy  : 0.7869
Test Precision : 0.7925
Test Recall    : 0.7907
Test F1 Score  : 0.7916
Test Loss      : 0.4732
----------------------------------------
Execution time : 5.11 minutes
📁 Metrics and plots saved in 'plots/' folder
