Processing...
Done!
Binary class counts: Counter({0: 2104, 1: 2088})
Epoch 196/300, Train Acc: 0.8130, Test Acc: 0.7878
Epoch 197/300, Train Acc: 0.8220, Test Acc: 0.8069
Epoch 198/300, Train Acc: 0.8145, Test Acc: 0.8081
Early stopping triggered.

📘 Final Classification Metrics
----------------------------------------
Train Accuracy : 0.8366
Train Precision: 0.8091
Train Recall   : 0.8789
Train F1 Score : 0.8425
Train Loss     : 0.4201
----------------------------------------
Test Accuracy  : 0.8010
Test Precision : 0.7935
Test Recall    : 0.8143
Test F1 Score  : 0.8038
Test Loss      : 0.4408
----------------------------------------
Execution time : 1.61 minutes
📁 Metrics and plots saved in 'plots/' folder
