Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 125/300, Train Acc: 0.8438, Test Acc: 0.8119
Epoch 126/300, Train Acc: 0.8479, Test Acc: 0.8119
Epoch 127/300, Train Acc: 0.8467, Test Acc: 0.8131
Epoch 128/300, Train Acc: 0.8497, Test Acc: 0.8024
Epoch 129/300, Train Acc: 0.8396, Test Acc: 0.8226
Epoch 130/300, Train Acc: 0.8518, Test Acc: 0.8179
Epoch 131/300, Train Acc: 0.8494, Test Acc: 0.8155
Epoch 132/300, Train Acc: 0.8557, Test Acc: 0.8190
Epoch 133/300, Train Acc: 0.8438, Test Acc: 0.8167
Epoch 134/300, Train Acc: 0.8482, Test Acc: 0.8202
Epoch 135/300, Train Acc: 0.8494, Test Acc: 0.8119
Epoch 136/300, Train Acc: 0.8560, Test Acc: 0.8131
Epoch 137/300, Train Acc: 0.8545, Test Acc: 0.8095
Epoch 138/300, Train Acc: 0.8506, Test Acc: 0.8155
Epoch 139/300, Train Acc: 0.8577, Test Acc: 0.8167
Epoch 140/300, Train Acc: 0.8533, Test Acc: 0.8179
Epoch 141/300, Train Acc: 0.8548, Test Acc: 0.8286
Epoch 142/300, Train Acc: 0.8530, Test Acc: 0.8179
Epoch 143/300, Train Acc: 0.8542, Test Acc: 0.8131
Epoch 144/300, Train Acc: 0.8577, Test Acc: 0.8238
Epoch 145/300, Train Acc: 0.8577, Test Acc: 0.8238
Epoch 146/300, Train Acc: 0.8577, Test Acc: 0.8238
Epoch 147/300, Train Acc: 0.8631, Test Acc: 0.8310
Epoch 148/300, Train Acc: 0.8589, Test Acc: 0.8250
Epoch 149/300, Train Acc: 0.8536, Test Acc: 0.8262
Epoch 150/300, Train Acc: 0.8565, Test Acc: 0.8226
Epoch 151/300, Train Acc: 0.8664, Test Acc: 0.8286
Epoch 152/300, Train Acc: 0.8560, Test Acc: 0.8202
Epoch 153/300, Train Acc: 0.8631, Test Acc: 0.8190
Epoch 154/300, Train Acc: 0.8580, Test Acc: 0.8202
Epoch 155/300, Train Acc: 0.8625, Test Acc: 0.8190
Epoch 156/300, Train Acc: 0.8631, Test Acc: 0.8321
Epoch 157/300, Train Acc: 0.8622, Test Acc: 0.8155
Epoch 158/300, Train Acc: 0.8667, Test Acc: 0.8286
Epoch 159/300, Train Acc: 0.8673, Test Acc: 0.8214
Epoch 160/300, Train Acc: 0.8646, Test Acc: 0.8250
Epoch 161/300, Train Acc: 0.8598, Test Acc: 0.8274
Epoch 162/300, Train Acc: 0.8607, Test Acc: 0.8286
Epoch 163/300, Train Acc: 0.8592, Test Acc: 0.8179
Epoch 164/300, Train Acc: 0.8640, Test Acc: 0.8143
Epoch 165/300, Train Acc: 0.8643, Test Acc: 0.8214
Epoch 166/300, Train Acc: 0.8685, Test Acc: 0.8131
Epoch 167/300, Train Acc: 0.8711, Test Acc: 0.8202
Epoch 168/300, Train Acc: 0.8670, Test Acc: 0.8238
Epoch 169/300, Train Acc: 0.8655, Test Acc: 0.8333
Epoch 170/300, Train Acc: 0.8705, Test Acc: 0.8298
Epoch 171/300, Train Acc: 0.8649, Test Acc: 0.8250
Epoch 172/300, Train Acc: 0.8610, Test Acc: 0.8250
Epoch 173/300, Train Acc: 0.8690, Test Acc: 0.8238
