Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 126/300, Train Acc: 0.7881, Test Acc: 0.7833
Epoch 127/300, Train Acc: 0.7839, Test Acc: 0.7893
Epoch 128/300, Train Acc: 0.7920, Test Acc: 0.7869
Epoch 129/300, Train Acc: 0.7970, Test Acc: 0.7833
Epoch 130/300, Train Acc: 0.7839, Test Acc: 0.7821
Epoch 131/300, Train Acc: 0.7932, Test Acc: 0.7726
Epoch 132/300, Train Acc: 0.7967, Test Acc: 0.7786
Epoch 133/300, Train Acc: 0.7967, Test Acc: 0.7833
Epoch 134/300, Train Acc: 0.8027, Test Acc: 0.7738
Epoch 135/300, Train Acc: 0.7961, Test Acc: 0.7905
Epoch 136/300, Train Acc: 0.7937, Test Acc: 0.7738
Epoch 137/300, Train Acc: 0.7997, Test Acc: 0.7988
Epoch 138/300, Train Acc: 0.7943, Test Acc: 0.7857
Epoch 139/300, Train Acc: 0.7943, Test Acc: 0.7917
Epoch 140/300, Train Acc: 0.8074, Test Acc: 0.7774
Epoch 141/300, Train Acc: 0.8024, Test Acc: 0.7940
Epoch 142/300, Train Acc: 0.8086, Test Acc: 0.7857
Epoch 143/300, Train Acc: 0.8003, Test Acc: 0.7750
Epoch 144/300, Train Acc: 0.7949, Test Acc: 0.7857
Epoch 145/300, Train Acc: 0.7976, Test Acc: 0.7786
Epoch 146/300, Train Acc: 0.8024, Test Acc: 0.7976
Epoch 147/300, Train Acc: 0.7964, Test Acc: 0.7798
Epoch 148/300, Train Acc: 0.8048, Test Acc: 0.7917
Epoch 149/300, Train Acc: 0.7943, Test Acc: 0.7976
Epoch 150/300, Train Acc: 0.7991, Test Acc: 0.7833
Epoch 151/300, Train Acc: 0.8006, Test Acc: 0.7905
Epoch 152/300, Train Acc: 0.7896, Test Acc: 0.8024
Epoch 153/300, Train Acc: 0.8030, Test Acc: 0.7810
Epoch 154/300, Train Acc: 0.8003, Test Acc: 0.7988
Epoch 155/300, Train Acc: 0.8024, Test Acc: 0.8012
Epoch 156/300, Train Acc: 0.8074, Test Acc: 0.7869
Epoch 157/300, Train Acc: 0.8015, Test Acc: 0.8107
Epoch 158/300, Train Acc: 0.8051, Test Acc: 0.7964
Epoch 159/300, Train Acc: 0.8063, Test Acc: 0.7881
Epoch 160/300, Train Acc: 0.8098, Test Acc: 0.7952
Epoch 161/300, Train Acc: 0.8155, Test Acc: 0.7917
Epoch 162/300, Train Acc: 0.8104, Test Acc: 0.7845
Epoch 163/300, Train Acc: 0.8012, Test Acc: 0.8024
Epoch 164/300, Train Acc: 0.8164, Test Acc: 0.7976
Epoch 165/300, Train Acc: 0.8077, Test Acc: 0.8024
Epoch 166/300, Train Acc: 0.8092, Test Acc: 0.7929
Epoch 167/300, Train Acc: 0.8092, Test Acc: 0.8036
Epoch 168/300, Train Acc: 0.8155, Test Acc: 0.7750
Epoch 169/300, Train Acc: 0.8033, Test Acc: 0.7976
Epoch 170/300, Train Acc: 0.8060, Test Acc: 0.7917
Epoch 171/300, Train Acc: 0.8131, Test Acc: 0.8012
Epoch 172/300, Train Acc: 0.8167, Test Acc: 0.8060
Epoch 173/300, Train Acc: 0.8208, Test Acc: 0.7988
Epoch 174/300, Train Acc: 0.8173, Test Acc: 0.7857
